gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276435.1	transcript variant X4	2737	XM_032276435.1:387-1805	XP_032132326.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276441.1	transcript variant X10	2577	XM_032276441.1:227-1645	XP_032132332.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276438.1	transcript variant X7	2708	XM_032276438.1:358-1776	XP_032132329.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276433.1	transcript variant X2	2801	XM_032276433.1:451-1869	XP_032132324.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276436.1	transcript variant X5	2558	XM_032276436.1:208-1626	XP_032132327.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276439.1	transcript variant X8	2604	XM_032276439.1:254-1672	XP_032132330.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276434.1	transcript variant X3	2678	XM_032276434.1:328-1746	XP_032132325.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276437.1	transcript variant X6	3216	XM_032276437.1:866-2284	XP_032132328.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276432.1	transcript variant X1	3309	XM_032276432.1:959-2377	XP_032132323.1		472	platelet glycoprotein 4
116550401	CD36	CD36 molecule	Sapajus apella	tufted capuchin	9515	NW_022436947.1:41423206-41502617	+	chr Un	PROTEIN_CODING	XM_032276440.1	transcript variant X9	2608	XM_032276440.1:258-1676	XP_032132331.1		472	platelet glycoprotein 4
